E,DOS_centerimp,G-6RLuu,G-5RLuu,G-4RLuu,G-3RLuu,G-2RLuu,G-1RLuu,G0RLuu,G1RLuu,G2RLuu,G3RLuu,G4RLuu,G5RLuu,G6RLuu,G-6LRdd,G-5LRdd,G-4LRdd,G-3LRdd,G-2LRdd,G-1LRdd,G0LRdd,G1LRdd,G2LRdd,G3LRdd,G4LRdd,G5LRdd,G6LRdd,G-6LLdu,G-5LLdu,G-4LLdu,G-3LLdu,G-2LLdu,G-1LLdu,G0LLdu,G1LLdu,G2LLdu,G3LLdu,G4LLdu,G5LLdu,G6LLdu,G-6RRud,G-5RRud,G-4RRud,G-3RRud,G-2RRud,G-1RRud,G0RRud,G1RRud,G2RRud,G3RRud,G4RRud,G5RRud,G6RRud,G-6CCuu,G-5CCuu,G-4CCuu,G-3CCuu,G-2CCuu,G-1CCuu,G0CCuu,G1CCuu,G2CCuu,G3CCuu,G4CCuu,G5CCuu,G6CCuu,G-6CCdd,G-5CCdd,G-4CCdd,G-3CCdd,G-2CCdd,G-1CCdd,G0CCdd,G1CCdd,G2CCdd,G3CCdd,G4CCdd,G5CCdd,G6CCdd,T_RL,T_LR,DOS
-9.0,1.1156574764959033,-0.014632115407970464 + 0.04340016094384367im,0.02780735040295423 + 0.026246096149502872im,0.07418472427151954 + 0.0026144084260440736im,0.025492727232299436 - 0.20704660218054372im,-0.3500770005515672 - 0.12086036493554496im,-0.07201408444704901 + 0.37902735232973367im,-0.051682748104988296 + 0.023271165466169363im,-0.2149309898361821 + 0.35850033274663434im,-0.21555474773178127 - 0.11040347322261916im,0.045201340406327464 - 0.07282750424909729im,0.011574614283308455 + 0.0006204346023780871im,0.00021574088837634825 + 0.013543695635874629im,0.005675053537915857 + 0.010257976412762684im,0.013891685796484218 - 0.004564242900603511im,-0.01252426239824699 + 0.018416162887565524im,-0.03794447979255091 + 0.07103818429380224im,0.145224903987475 - 0.031110170158397593im,-0.22100753111655114 - 0.32455961435118974im,-0.25238175672846985 + 0.2542283699107437im,-0.051682748104988074 + 0.023271165466169294im,0.08841420738211317 + 0.318725950679252im,-0.11567713773968928 + 0.22932278148292704im,-0.0862725708898605 + 0.04540070689720589im,-0.04317245809670273 - 0.051585161298806505im,-0.0031562841747119945 - 0.0021411734487234687im,-0.01890095364582868 + 0.0004881584497035609im,-0.0009732069141853497 + 0.01552280233715264im,0.019763980233949638 + 0.00657606699758356im,0.04194621991047444 - 0.05067447486319103im,-0.05303247563449064 + 0.022166104903646205im,0.14382867397939958 + 0.0027913143604429286im,0.17863312968497233 + 0.46793947660949325im,0.07585480903509868 - 0.06055960615304713im,-0.2110206142095971 + 0.2622671243441248im,-0.01117309033861863 - 0.09792480470885655im,-0.054986775290471315 + 0.018886975268365393im,0.005011468305310731 - 0.0339084863288238im,-0.001226835186771821 + 0.010698477512782092im,0.0027752071033308365 - 0.0032809435601126227im,0.020013733056516745 - 0.07839468249956316im,-0.023818097855368724 - 0.049410365686412556im,-0.09913283157220468 - 0.012939811813750026im,0.005989246069066003 + 0.09916880552020449im,-0.002740107222334153 + 0.14796759250660654im,-0.13068546888843696 + 0.009778495994369989im,0.2703315676913027 + 0.565315911114941im,0.006667015238192395 - 0.13340726560863797im,-0.06814424795559564 - 0.005012353787903672im,0.07271101122264687 + 0.053507660877536306im,-0.04339836206125011 - 0.019189566521364283im,0.01883122679387103 + 0.019307843591007134im,-0.017365629275665487 + 0.012164010306107127im,0.008544109534003978 + 0.010883419396669147im,-0.00705677724649598 + 0.018734380673875683im,-0.04608131198281687 + 0.028081926547796527im,-0.07854161598481277 + 0.014031254378626058im,0.00849975090682256 + 0.009163625755327885im,-0.03298690217856766 - 0.08747168704530399im,-0.022724076874190396 - 0.5604697110019012im,0.007397632556386647 + 0.05726527374081564im,-0.15277292082901728 + 0.03787672023264914im,0.022461481905223585 + 0.06194962685397963im,0.02472513914661235 + 0.00972498160099712im,-0.011191088956793336 - 0.021434011470271647im,-0.0005407279050213661 + 0.006841235113929947im,0.014057053462955405 + 0.013719825757340848im,-0.00426314040252942 - 0.0047787543646989165im,0.015917791366087758 - 0.03759860880368987im,-0.031068687780931834 - 0.026846264141535587im,-0.02776184560904371 - 0.038098964601417123im,0.0038613327417692843 - 0.09627958257709572im,-0.022724076874190546 - 0.560469711001901im,0.16559165926044178 + 0.01990764494078435im,-0.003742418827126533 + 0.007423662192203938im,0.013019785720850248 - 0.019588068124213466im,-0.019820040448014452 - 0.001693669779470267im,-0.01487033370557673 + 0.0033159697037921836im,0.006896149160874606 - 0.005211070366215058im,0.5829825809015744,0.504753230706359,1.1209394220038023
-8.96,1.1856871287812698,-0.044800483647455966 + 0.028797472437529906im,0.004230306696936279 + 0.039078245670640874im,0.0588312672073317 + 0.04445741885743129im,0.10245257469300381 - 0.1719233236689428im,-0.26703384854844076 - 0.21056889871428602im,-0.17877936084743898 + 0.3510138766386136im,-0.05280678203709688 - 0.010907418259197943im,-0.2995894771961405 + 0.2718290334863427im,-0.17829940079164577 - 0.16739312265129244im,0.0565416524448049 - 0.06683036148574412im,0.02014869676327859 + 0.009120010809410651im,-0.007697942588993438 + 0.013261875763348658im,0.0016537401170333517 + 0.012340028165738315im,0.018910989504015974 + 0.003327734736225945im,-0.011342763377943245 + 0.01421456270131975im,-0.05238079296753965 + 0.04676429842174118im,0.16031454692045907 + 0.01567550999091853im,-0.07405066473306914 - 0.405629442840866im,-0.3117540537117123 + 0.1710129828498493im,-0.05280678203709721 - 0.010907418259197554im,-0.01724407843711863 + 0.3460563354044621im,-0.216509495163322 + 0.18435208346362864im,-0.10951535884082884 + 0.015467696737926086im,-0.013970141565755302 - 0.0640059172868039im,-0.0001238320638878949 - 0.0022359527318487646im,-0.013849720937396767 - 0.012289640116975859im,-0.011301331946664786 + 0.014502505416851058im,0.008016134275218197 + 0.014179031213219558im,0.04695253991226542 - 0.02567519293724652im,-0.07178830949662751 + 0.00795658547518037im,0.12616343099710775 + 0.088600517499045im,0.07811039889144127 + 0.5274214606451063im,0.11044275619891666 - 0.01835861837779518im,-0.23752814823671795 + 0.18674371282614788im,0.049437255663991916 - 0.13685652945577365im,-0.04355030696530972 - 0.0030078977498347453im,0.015026677026836197 - 0.018004542720826168im,-0.009853218248434372 + 0.008500430997067288im,0.006458422385331123 - 0.0028038935090000956im,0.06704062124709904 - 0.0486495474336568im,0.011925465980590405 - 0.052460965346507876im,-0.0665787120869638 - 0.062444854562476344im,-0.04136394678547899 + 0.0830720447162923im,-0.053396587980845484 + 0.11237608317715159im,-0.0894453768104664 + 0.09568010709062846im,0.15604307267402984 + 0.5791180994285294im,0.017740268495506653 - 0.13429598894713585im,-0.07235898019615676 + 0.0028674852807832607im,0.03471616296410474 + 0.06275327279195127im,-0.025437941317976966 - 0.039033575766883856im,0.011083264225599788 + 0.027802452921781365im,-0.019973900329493158 + 0.0031149962005146163im,0.003399293674213052 + 0.01583671661234349im,-0.019085594998263507 + 0.01934749730952658im,-0.05883639951963877 + 0.0028309084462918802im,-0.08039049233657865 - 0.024093997061062116im,0.009965123911461538 + 0.01600800201249068im,-0.00521187023713236 - 0.09148396468566859im,0.008507094210138516 - 0.5861530930547136im,-0.003334483002898814 + 0.048442599703248816im,-0.1483917402925575 - 0.006170995191105355im,-0.008970698329382541 + 0.07201840175690634im,0.024110996961643247 + 0.017442536435781388im,-0.000297579542498546 - 0.023912964785635885im,-0.003550677636358653 + 0.004743853643674201im,0.008364375089839577 + 0.014366285777147237im,0.0009865028314869637 - 0.00721310723175881im,0.02644625720319133 - 0.022570478466797994im,-0.028849116188104262 - 0.03552509119274208im,-0.007521541826368184 - 0.053455372963880435im,0.041275084924841235 - 0.08735172708453247im,0.008507094210138686 - 0.5861530930547134im,0.13696417820997647 + 0.07623525602597038im,-0.0036310131649062855 + 0.0004849212279781183im,0.011072396473190398 - 0.020522714667402405im,-0.02149737370328078 - 0.013614842067297083im,-0.016723178162073405 - 0.004996853458468792im,0.00851511657850005 - 0.0004150327625102252im,0.5555983479476735,0.5487258865195105,1.172306186109427
-8.92,1.2112264806385014,-0.057917773352529234 - 0.009926727660927743im,-0.021769096046487725 + 0.027662208985441313im,0.017691249047524626 + 0.06093296972970201im,0.14911164535651178 - 0.11557377367971834im,-0.17737331763235742 - 0.25755866836158414im,-0.2890875831054037 + 0.2876937617615724im,-0.037528396559487254 - 0.041611215424790515im,-0.3577836084331521 + 0.1737950921420354im,-0.13130671881709527 - 0.2134871844448491im,0.0755510703074019 - 0.06141733781397394im,0.01838676683991016 + 0.025291924609897008im,-0.015206405074688375 + 0.009033551929149458im,-0.004148710246119052 + 0.01299114576755718im,0.015969414590154038 + 0.01692565556792733im,-0.018177861385967872 + 0.017190298988624488im,-0.06620555666309069 + 0.029510599414783144im,0.15453596050402424 + 0.08388697289259192im,0.10231716687617548 - 0.40024016717309685im,-0.3506551762621659 + 0.07499623663625593im,-0.03752839655948714 - 0.04161121542479107im,-0.1351036354319419 + 0.3293935491973021im,-0.28855637176907334 + 0.08107382898620917im,-0.12103905011238102 - 0.028988960330819394im,0.015477172697722313 - 0.058914709367561775im,0.0014166370322028499 - 4.217200472352717e-5im,-0.0009245174574774493 - 0.017540734454649272im,-0.019021186396037233 + 0.0041706078629964345im,0.0018873845687186423 + 0.006317060938287981im,0.05064073065511576 - 0.018710262494154747im,-0.0917663654320854 - 0.030436580996230873im,0.05479180336349305 + 0.1500751780544889im,-0.037480224976535484 + 0.5419290499618229im,0.13066152887702426 + 0.03606551384287505im,-0.22943120329299477 + 0.12153207597473244im,0.13639409562304147 - 0.13187033168431764im,-0.026438270108552202 - 0.012732632999504015im,0.011616525926196974 - 0.004288642210861841im,-0.016033019978956658 + 0.0004579574715180886im,0.008623437266460102 + 0.0015871739780319504im,0.07902086049556045 + 0.007716719979691989im,0.037634601952445536 - 0.028107184757636405im,-0.014356656301816153 - 0.07231033382549663im,-0.07012903514914508 + 0.05170837827328538im,-0.06787662892765642 + 0.0625346157844428im,-0.09943123965900796 + 0.19934186821357358im,0.06053967448070009 + 0.5596111051824435im,0.02815424595337783 - 0.11996808935266075im,-0.08094104629367611 + 0.009197277021669507im,-0.003542228455769858 + 0.04793728067050627im,0.003635565082936669 - 0.0439555755875949im,-0.0013689604528089854 + 0.03492140403501053im,-0.01839115307958182 - 0.0053303894893595195im,-0.005335760901036628 + 0.018839268419501773im,-0.03305943351725183 + 0.0070349725154974915im,-0.04834839905585737 - 0.02894204941684434im,-0.06042696198030864 - 0.054833958205095984im,0.0011399867927262522 + 0.025440362345456564im,0.023563990676488025 - 0.08568572492401572im,0.059643879187543845 - 0.5904756058965719im,-0.008505861335466785 + 0.04117783960790492im,-0.1322419242352882 - 0.04725339673071875im,-0.04423476472161922 + 0.06136440605542356im,0.01991889512192551 + 0.028268948377406632im,0.010890161100574926 - 0.0204893875430674im,-0.0046223517336313165 + 0.0016597966949146534im,0.003972188120610756 + 0.014695808031332209im,0.004035629048287088 - 0.004493182435046365im,0.025515115888937213 - 0.008200295490547117im,-0.01818263407856774 - 0.0463048092263552im,0.018599114217636513 - 0.05635655048780526im,0.07260179497345645 - 0.06451724058609336im,0.05964387918754361 - 0.5904756058965721im,0.08640801564979846 + 0.1115694400309615im,0.004214721128797862 - 0.0045170353627782475im,0.014060994635170814 - 0.025570893927622823im,-0.014027188774365307 - 0.02591358471260901im,-0.012565271580206748 - 0.013831947869746654im,0.006418763769902551 + 0.004477207970852762im,0.5435751598727144,0.5758269216255221,1.180951211793144
-8.88,1.1610522145282385,-0.034582343650817485 - 0.046257771588277916im,-0.025993098147766715 + 0.005072714579324922im,-0.011742009623642108 + 0.045288074019582306im,0.17306227783972364 - 0.05270098467313714im,-0.09697170638972584 - 0.27489222303597877im,-0.3749644660277463 + 0.1767049210959691im,-0.007746858132032242 - 0.059469555426720944im,-0.39260874757688813 + 0.0662613344023603im,-0.07365434224436482 - 0.2536963921605026im,0.10210120181995044 - 0.04578721022675718im,0.002632296529238397 + 0.037302277440828854im,-0.020118871648592905 + 0.00029109735721882im,-0.01065701606976923 + 0.01000019578487142im,0.0017972204205356293 + 0.024202184245867026im,-0.030640882245715206 + 0.0067726874942454825im,-0.0769884952552359 - 0.00571062428466659im,0.10497927785689046 + 0.14481362738315376im,0.2441369171532491 - 0.3124007137846892im,-0.3621182751459445 - 0.03477668837135667im,-0.007746858132031853 - 0.05946955542672128im,-0.23748620430184816 + 0.2655149464928986im,-0.2929932343108655 - 0.047298051767325086im,-0.11118960229473557 - 0.08085792359218132im,0.034247796444657974 - 0.04138340990210979im,0.00022906813958598407 + 0.0020282763751652243im,0.011773210094468299 - 0.011428049703263507im,-0.01501935822051871 - 0.007526771090547346im,0.0107065935574717 + 0.006519238306473837im,0.06896568576596795 + 0.002671590377722532im,-0.07917372442244436 - 0.0877438681942595im,-0.038372262250143285 + 0.15774902930432122im,-0.14486857992615887 + 0.5179670931138589im,0.12620070704818193 + 0.09801468754771396im,-0.20030119430693522 + 0.08062937613363687im,0.2127507470913942 - 0.06965822218950056im,-0.012031813529033368 - 0.010451846467746974im,0.0021898352901728348 - 0.0007859036744300909im,-0.015772436680661965 - 0.011192958790010423im,0.006790892256032429 + 0.006791075950413276im,0.04840598670719719 + 0.0497825211189791im,0.03671580415232962 - 0.0006553868754875479im,0.016991717387793974 - 0.051834557344391005im,-0.0839462599843349 + 0.011060176625974607im,-0.05272829616373445 + 0.02437975976086971im,-0.17457687357554486 + 0.28423670612893726im,-0.007500674339351761 + 0.525131471945673im,0.02396620273226084 - 0.09320144349237616im,-0.09816415682964376 + 0.011101231027979257im,-0.024746555204664605 + 0.010568233872200277im,0.030465187452893304 - 0.027877963874428768im,-0.020090267352939225 + 0.03645480876713565im,-0.014280199206049397 - 0.011811456994796547im,-0.015998871225466914 + 0.014628893875526901im,-0.031712018635896885 - 0.01365614289223832im,-0.02129703008423483 - 0.039620792449386086im,-0.033530760997600106 - 0.06942118780578904im,-0.014817743701596536 + 0.023667319582725412im,0.04687634370058599 - 0.0677049892382247im,0.11009461121510795 - 0.5599675636661432im,-0.01246142717601088 + 0.036969381409302414im,-0.10375920360442377 - 0.081142022822343im,-0.06811219830221209 + 0.030500375156101232im,0.007606448648302425 + 0.03875495142638501im,0.018944455011050805 - 0.011366689895427096im,-0.003971329004493563 - 0.001052344819118921im,-0.0016507192166041835 + 0.013990972043623552im,0.0030393463132185484 - 0.0036138547770475146im,0.02068700633651125 - 0.00032949938255978444im,-0.0012207326702328505 - 0.04801964035227575im,0.04114749403703299 - 0.04659721387699277im,0.09125890447360634 - 0.03129545867541932im,0.11009461121510787 - 0.5599675636661438im,0.03132288498299372 + 0.11523668244340417im,0.015578464738810346 - 0.0005275461993906414im,0.023983491865547053 - 0.028537359536440682im,0.0008390116369965082 - 0.03100058808066658im,-0.0032135620312529136 - 0.018678761334589643im,0.0015298232569091873 + 0.006758654834652758im,0.5421997488260175,0.5696979590569154,1.1199351273322868
-8.84,1.0521539044575765,0.003495589607798716 - 0.052125089516310584im,-0.01740330841735261 - 0.007111264028487306im,-0.019995696118882047 + 0.026967308059688215im,0.16940111660050716 + 0.01301910252292634im,-0.030457236495666312 - 0.28149215910322345im,-0.4087589946583252 + 0.03987918555416739im,0.025569809369874213 - 0.060064332631024286im,-0.4001741480901415 - 0.05047615461931316im,0.0022336550719361786 - 0.28454702763031176im,0.12659892518285548 - 0.012819455060419701im,-0.018721439492963277 + 0.034977049048561644im,-0.019083906383960073 - 0.010890907691428508im,-0.014738359088764693 + 0.0031391067040818983im,-0.012155557023456064 + 0.01978632561282813im,-0.029869457957871277 - 0.010058494229328514im,-0.05818116381972487 - 0.04185612193511712im,0.0333028114936193 + 0.1683361908775582im,0.32204118927132536 - 0.1855019763651415im,-0.33525413593557235 - 0.1458631119875807im,0.025569809369874547 - 0.060064332631024064im,-0.3037799577745003 + 0.17289163288602705im,-0.23588568770218604 - 0.14816246765632496im,-0.07660270801345484 - 0.12816263436547698im,0.03996373285796065 - 0.022531864756710866im,-0.0018253554350282 + 0.002068643559791315im,0.015466216420664055 + 0.0025711924679836327im,-0.006621346212708298 - 0.010293037352078805im,0.01018615726065208 + 0.019945327353123474im,0.06302378484640343 + 0.043338048165414554im,-0.02921338632321064 - 0.13101543008038588im,-0.1204425611304903 + 0.11290939205092002im,-0.2379699135431989 + 0.4668703646594378im,0.09633851845137138 + 0.15332019654886742im,-0.16751344006581237 + 0.06685728146737058im,0.24171112603112238 + 0.029276678859760402im,-0.0070603231115240715 - 0.002023992422801685im,-0.003213245193111374 - 0.006520268596763013im,-0.007539677055737221 - 0.02128402923007603im,0.002015802700154314 + 0.009728144970328im,0.007745631297102858 + 0.05765112025086691im,0.02542906644995063 + 0.013976575661414303im,0.02801111908117848 - 0.03063459754406761im,-0.07309736065785545 - 0.032372748596811204im,-0.026640933353024206 + 0.00983054801991973im,-0.2879743753942061 + 0.3072713621688026im,-0.05284981247010856 + 0.4951385531866268im,-0.00314988077103745 - 0.06804669355493953im,-0.12065599386933472 - 0.0004263231853896682im,-0.016347124173692707 - 0.033529680933523015im,0.04055686830632275 + 0.0018022872808713094im,-0.04124552500028853 + 0.025852202507901167im,-0.008437493471762505 - 0.016877470430936112im,-0.020699405776198252 + 0.004792961048584936im,-0.018839372736746608 - 0.02483361205428121im,-0.0031595002807482874 - 0.03307208490917453im,-0.006814348492620457 - 0.07270139390956706im,-0.0244465539201014 + 0.011059837760109386im,0.057037700766269094 - 0.044874460944507075im,0.13530171172949124 - 0.5040491141874199im,-0.017486971098954255 + 0.03344284542252872im,-0.06576077190699198 - 0.10293678114287944im,-0.06971149726850213 - 0.00839643649697869im,-0.011932890716792583 + 0.04097460145326032im,0.020577400812968844 + 0.0011856847928601508im,-0.0022845452369348925 - 0.002995470716757198im,-0.006284241263794283 + 0.009958471604922995im,0.003810891241037933 - 0.005071571747028585im,0.015842488446125933 + 0.004090705973693506im,0.011490541496371597 - 0.04103385030221049im,0.05566461440042074 - 0.03083698802415233im,0.09447580189274714 + 0.004251982321366142im,0.1353017117294914 - 0.5040491141874198im,-0.007666051111015955 + 0.09502389535229976im,0.021498012594089053 + 0.012567443601299563im,0.03701559782522584 - 0.024499657188837884im,0.015406548783310053 - 0.025894238774809078im,0.007384567785540789 - 0.01720724510024986im,-0.003659360341838084 + 0.005504486928845347im,0.5483118557268531,0.5365899810187593,1.0080982283748399
-8.8,0.9315987921476288,0.03014231382055103 - 0.034174716934917894im,-0.00829632931891731 - 0.010535453226262523im,-0.019675322078365077 + 0.014561419197888531im,0.14163485380348123 + 0.06309054092614957im,0.03828811447486079 - 0.28916873560587447im,-0.3902125523806257 - 0.09198962898246234im,0.05606765833129668 - 0.04723432498958102im,-0.37434132936082964 - 0.16992884576517506im,0.09936711178708217 - 0.292565451989895im,0.13674097855094305 + 0.035732044768394804im,-0.033095106600619435 + 0.019417198403896278im,-0.01140581027505793 - 0.02003539514671421im,-0.014024010630819766 - 0.005240044007343895im,-0.019841361318987068 + 0.009446778692200203im,-0.021249585593954175 - 0.020463908926725793im,-0.026006639374314876 - 0.05504693929489414im,-0.03296339740945654 + 0.15594287394059236im,0.339454034268344 - 0.05792127322802574im,-0.27408140614301146 - 0.24086542001420294im,0.056067658331297204 - 0.04723432498958047im,-0.3342128148232999 + 0.0742405247435im,-0.15763011762531925 - 0.20114255187781044im,-0.020169523210840368 - 0.15868082620594995im,0.03846878979781286 - 0.008856186370578046im,-0.0032285035085481252 + 0.0010053113914481444im,0.006196659661197427 + 0.01499076340029225im,-0.0023879017673503304 - 0.007644446165072947im,-0.0035030868368961443 + 0.028374349677458804im,0.03009512602390308 + 0.06868170551411593im,0.041335081817721685 - 0.14022619959252616im,-0.16434693656191443 + 0.029176346778033876im,-0.3119692392555285 + 0.39109762520000524im,0.04842758873620228 + 0.1936959072998541im,-0.1437114868238628 + 0.07296451553577318im,0.21473894281195943 + 0.1271193231062366im,-0.011539703639798473 + 0.0034560715549232963im,-0.00021226950298797523 - 0.013947692490150557im,0.006317557460416869 - 0.02490086121592738im,-0.003627646858102993 + 0.009660115063658114im,-0.021500057083789305 + 0.04361568386353965im,0.013129976276308877 + 0.020265662907194427im,0.02991653254504992 - 0.013156216284238102im,-0.041449035141883375 - 0.06098436519024237im,-0.00801729489371295 + 0.012128459345376534im,-0.39042260234181936 + 0.2633210835806348im,-0.09172823922070823 + 0.4767377222189147im,-0.048187405316497955 - 0.0606362850206898im,-0.13709202347946103 - 0.02721665202567692im,0.01971577251012597 - 0.06462899883633488im,0.030911719302091988 + 0.03070338945069964im,-0.054653909582083056 + 0.0016047463798505883im,-2.303590483180586e-5 - 0.019830262542133402im,-0.01926162149513617 - 0.0038836185255059635im,-0.006460605836932343 - 0.0267217989628038im,0.004796730280540583 - 0.024098272784853512im,0.016638908748304114 - 0.06658206372745983im,-0.02382340140559417 - 0.0034113921522789187im,0.05751950487595929 - 0.026723621812558072im,0.12845462684014025 - 0.44508942989203676im,-0.022670164520070004 + 0.02883742843673643im,-0.02323790385510526 - 0.10884864972381363im,-0.05010387418585015 - 0.03959148001537522im,-0.030382748814322107 + 0.030881564537358002im,0.01394459787218107 + 0.012277431839208536im,0.00029446732736726315 - 0.0038745059592673768im,-0.007767092684650534 + 0.004655327155361813im,0.006294068022027003 - 0.005535867441864082im,0.011517820927357631 + 0.005896817384306705im,0.017670736817941964 - 0.032190989612165im,0.06410327434688201 - 0.013856627071604774im,0.0851715776711795 + 0.03540731874537145im,0.12845462684013995 - 0.44508942989203715im,-0.02509948758346074 + 0.06943605286794761im,0.01707613744759518 + 0.027711324195517414im,0.04804613498278955 - 0.0132820592119413im,0.023729938674550446 - 0.01464514401869207im,0.015614525133529952 - 0.010354485129152196im,-0.007388820893363972 + 0.0014975300920778535im,0.5647618641236972,0.4974945516418338,0.8901788597840739
-8.76,0.8332361290162434,0.03793841921884268 - 0.009133837453605746im,-0.001648641578419731 - 0.0091639097201123im,-0.016123687734695753 + 0.007537098270024627im,0.1072820705640129 + 0.09296718079248219im,0.1250895759326775 - 0.28400360436873157im,-0.3342686492176976 - 0.20195546568288072im,0.0823737562396909 - 0.02210258570010004im,-0.3125350708382828 - 0.28181213790737747im,0.2088797050553135 - 0.2609125842648457im,0.12356076077970557 + 0.09094047470915018im,-0.034255790647065826 - 6.116969661717e-5im,0.0005536116720693384 - 0.023381885924224244im,-0.008331509688079683 - 0.011574298671040545im,-0.020886416069603057 - 0.002464130359905373im,-0.011810425206778326 - 0.02543335170720916im,0.000693263636283907 - 0.04963375832617771im,-0.07988765691124601 + 0.12185608191380723im,0.3159945980309395 + 0.04871772766582881im,-0.18866681509973607 - 0.311446996267063im,0.08237375623969051 - 0.02210258570010004im,-0.33959699959485645 - 0.02113211980903497im,-0.08635591028363798 - 0.22139195271369574im,0.049193844221448346 - 0.16115821356133736im,0.03559570885075869 - 0.00023135523090405015im,-0.0043397580863841385 - 0.0008030545297703648im,-0.011120154269522602 + 0.0149053467428986im,-0.002975871794355104 - 0.005858896283563465im,-0.020401612487604432 + 0.025275795159290616im,-0.006658197375404382 + 0.0687025759867075im,0.10876635896034328 - 0.1089661991198625im,-0.15483102248133349 - 0.06535833755018754im,-0.35644637268557444 + 0.29623765825709514im,-0.010867114640016225 + 0.21679732125565002im,-0.13281001646371748 + 0.09042161785116457im,0.14694222635007376 + 0.19686506332821957im,-0.01913869860687647 + 0.0009220666534083127im,0.008378685919849825 - 0.01651977964784491im,0.02105071218083193 - 0.019438020145136424im,-0.008970827015203851 + 0.0064808788618874935im,-0.03497977233568272 + 0.021107560153100488im,0.001455213160556129 + 0.020690622098788525im,0.025917794562294434 + 0.0004979257650035121im,-0.0017385268714725597 - 0.06785806990271344im,0.0016600948183083317 + 0.01734449713162589im,-0.4500867875235747 + 0.1788285764406916im,-0.13566215325804074 + 0.46352418062415107im,-0.09732330839755789 - 0.07914406202361819im,-0.1394340978607162 - 0.06178270288320181im,0.07115523735798059 - 0.06952397188918635im,0.007305386026937708 + 0.049137123514988536im,-0.05116707855428953 - 0.02831837415485533im,0.0101669028738209 - 0.01820657977006513im,-0.015311552337961675 - 0.009367007217427621im,0.002707163422832603 - 0.02448064843108676im,0.007430251381273952 - 0.0167169627717698im,0.034384938735973335 - 0.054441096062509145im,-0.015792808662521002 - 0.013537882012921285im,0.05542974014537806 - 0.014522837680325047im,0.09805336854658787 - 0.3984357321069247im,-0.02728827231063032 + 0.023595627160277025im,0.015769177226499554 - 0.09754875279683717im,-0.02004710749705543 - 0.05367596450823239im,-0.039731853982963194 + 0.012967847442534828im,0.0020615401786650907 + 0.01583447463223849im,0.0030835773521906795 - 0.0029941766452243456im,-0.006493378872579836 - 5.164647026554268e-5im,0.009191140816856916 - 0.004611040056329427im,0.008902094575662194 + 0.006256009362337429im,0.01986595814240127 - 0.02519338934095274im,0.06890355754547423 + 0.004444661214853098im,0.06767458282767684 + 0.059541415007353195im,0.09805336854658762 - 0.3984357321069245im,-0.029003057410145684 + 0.050583517455370666im,0.00435496792937908 + 0.03782886796094091im,0.053909091519385256 + 0.0029879675724118378im,0.025261901719920342 - 0.0024598771929360136im,0.01940323660582339 + 0.00013250517396920557im,-0.00868388976986522 - 0.004499528923034575im,0.5924431670931063,0.4692867967319501,0.7968714642138492
